"행정구역별(시군구)","성별","연령별",2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015
"행정구역별(시군구)","성별","연령별",내국인(6세이상),초등학교-계,초등학교-졸업,초등학교-재학,초등학교-중퇴,중학교-계,중학교-졸업,중학교-재학,중학교-중퇴,고등학교-계,고등학교-졸업,고등학교-재학,고등학교-중퇴,대학(4년제 미만)-계,대학-졸업,대학-재학,대학-수료,대학-휴학,대학-중퇴,대학교(4년제 이상)-계,대학교-졸업,대학교-재학,대학교-수료,대학교-휴학,대학교-중퇴,대학원(석사과정)-계,대학원-졸업,대학원-재학,대학원-수료,대학원-중퇴,대학원(박사과정)-계,대학원-졸업,대학원-재학,대학원-수료,대학원-중퇴,받지않았음     (미취학 포함)
"동부","계","합계",2141031,289692,154688,119970,15034,245370,157905,74658,12807,609978,507894,87212,14872,317554,248075,30329,3724,15047,20379,532398,385496,88717,3167,31848,23170,64258,45676,9337,7629,1616,20066,13292,2356,4187,231,61715
"읍부","계","합계",125260,18266,7955,9561,750,13894,8473,4767,654,40301,34241,5203,857,21791,17718,1409,226,1015,1423,24443,17852,3324,145,1799,1323,2261,1588,392,223,58,527,291,92,133,11,3777
"면부","계","합계",46393,7840,5184,2023,633,5652,4395,1042,215,14380,12288,1665,427,6400,5030,469,91,341,469,7763,5617,1153,68,483,442,808,523,192,56,37,297,107,124,58,8,3253
"중구","계","합계",73721,9490,6031,2816,643,8003,5812,1625,566,19887,17007,2305,575,10471,8524,653,156,470,668,19420,14954,2415,121,1032,898,3349,2121,868,282,78,892,546,133,194,19,2209
"동구","계","합계",318662,48321,29038,16912,2371,38583,27748,8721,2114,91984,79305,10444,2235,47311,37998,3698,608,1988,3019,71699,53608,9831,510,4144,3606,7717,5475,1158,890,194,2261,1302,343,573,43,10786
"서구","계","합계",192685,32064,22783,7033,2248,29884,23006,4876,2002,63617,55212,6423,1982,27985,21139,2749,328,1555,2214,28737,19186,5058,225,2580,1688,2040,1342,356,252,90,519,255,121,143,-,7839
"남구","계","합계",152815,20722,13848,5545,1329,18709,14140,3400,1169,47181,41333,4852,996,22355,17204,2444,177,1066,1464,34203,25166,5211,170,1995,1661,3717,2454,556,578,129,865,498,150,203,14,5063
"북구","계","합계",420646,58115,28988,26055,3072,46515,28308,15778,2429,121456,101349,16968,3139,70830,53572,8900,701,3234,4423,97863,65610,20849,649,6397,4358,10649,7007,2135,1240,267,2577,1426,402,698,51,12641
"수성구","계","합계",416678,49959,19444,28507,2008,40844,20020,19217,1607,99043,76162,20956,1925,48783,39111,3875,677,2320,2800,137663,106467,19180,603,6648,4765,21911,16434,2332,2650,495,9610,7123,721,1690,76,8865
"달서구","계","합계",565824,71021,34556,33102,3363,62832,38871,21041,2920,166810,137526,25264,4020,89819,70527,8010,1077,4414,5791,142813,100505,26173,889,9052,6194,14875,10843,1932,1737,363,3342,2142,486,686,28,14312
"달성군","계","합계",171653,26106,13139,11584,1383,19546,12868,5809,869,54681,46529,6868,1284,28191,22748,1878,317,1356,1892,32206,23469,4477,213,2282,1765,3069,2111,584,279,95,824,398,216,191,19,7030
"인천광역시","계","합계",2656908,332156,154963,158637,18556,278711,173647,89492,15572,965018,841200,102075,21743,366811,284074,31096,4839,17475,29327,568029,414322,83757,4659,33631,31660,64609,47039,9083,6340,2147,12085,7048,2549,2260,228,69489
"동부","계","합계",2579807,315524,142742,155607,17175,267265,164716,87682,14867,939360,818574,99617,21169,360253,279122,30734,4739,16976,28682,557577,406250,82871,4580,32991,30885,62858,45642,8905,6194,2117,11843,6905,2515,2197,226,65127
"읍부","계","합계",20040,3663,2164,1135,364,2942,2000,700,242,7569,6178,1210,181,1908,1420,158,2,155,173,2825,2158,275,13,159,220,391,320,32,39,-,29,19,5,5,-,713
"면부","계","합계",57061,12969,10057,1895,1017,8504,6931,1110,463,18089,16448,1248,393,4650,3532,204,98,344,472,7627,5914,611,66,481,555,1360,1077,146,107,30,213,124,29,58,2,3649
