"행정구역별(시군구)","연령별","항목","단위","2015 년",
"면부","65~69세","내국인-사별","","62307",
"면부","65~69세","내국인-이혼","","10820",
"면부","70~74세","내국인(15세이상)-계","","322091",
"면부","70~74세","내국인-미혼","","2893",
"면부","70~74세","내국인-배우자있음","","208968",
"면부","70~74세","내국인-사별","","103898",
"면부","70~74세","내국인-이혼","","6332",
"면부","75~79세","내국인(15세이상)-계","","298366",
"면부","75~79세","내국인-미혼","","1976",
"면부","75~79세","내국인-배우자있음","","159989",
"면부","75~79세","내국인-사별","","133564",
"면부","75~79세","내국인-이혼","","2837",
"면부","80~84세","내국인(15세이상)-계","","196564",
"면부","80~84세","내국인-미혼","","1222",
"면부","80~84세","내국인-배우자있음","","76157",
"면부","80~84세","내국인-사별","","118035",
"면부","80~84세","내국인-이혼","","1150",
"면부","85세이상","내국인(15세이상)-계","","127212",
"면부","85세이상","내국인-미혼","","1466",
"면부","85세이상","내국인-배우자있음","","27536",
"면부","85세이상","내국인-사별","","97568",
"면부","85세이상","내국인-이혼","","642",
"서울특별시","합계","내국인(15세이상)-계","","8393832",
"서울특별시","합계","내국인-미혼","","2974906",
"서울특별시","합계","내국인-배우자있음","","4481669",
"서울특별시","합계","내국인-사별","","519388",
"서울특별시","합계","내국인-이혼","","417869",
"서울특별시","15~19세","내국인(15세이상)-계","","543220",
"서울특별시","15~19세","내국인-미혼","","542815",
"서울특별시","15~19세","내국인-배우자있음","","305",
"서울특별시","15~19세","내국인-사별","","83",
"서울특별시","15~19세","내국인-이혼","","17",
"서울특별시","20~24세","내국인(15세이상)-계","","681323",
"서울특별시","20~24세","내국인-미혼","","673851",
"서울특별시","20~24세","내국인-배우자있음","","6832",
"서울특별시","20~24세","내국인-사별","","243",
"서울특별시","20~24세","내국인-이혼","","397",
"서울특별시","25~29세","내국인(15세이상)-계","","721164",
"서울특별시","25~29세","내국인-미혼","","642650",
"서울특별시","25~29세","내국인-배우자있음","","76824",
"서울특별시","25~29세","내국인-사별","","200",
"서울특별시","25~29세","내국인-이혼","","1490",
"서울특별시","30~34세","내국인(15세이상)-계","","821484",
"서울특별시","30~34세","내국인-미혼","","461220",
"서울특별시","30~34세","내국인-배우자있음","","352439",
"서울특별시","30~34세","내국인-사별","","403",
"서울특별시","30~34세","내국인-이혼","","7422",
"서울특별시","35~39세","내국인(15세이상)-계","","765387",
"서울특별시","35~39세","내국인-미혼","","258095",
"서울특별시","35~39세","내국인-배우자있음","","485455",
"서울특별시","35~39세","내국인-사별","","1595",
"서울특별시","35~39세","내국인-이혼","","20242",
"서울특별시","40~44세","내국인(15세이상)-계","","806102",
"서울특별시","40~44세","내국인-미혼","","176393",
"서울특별시","40~44세","내국인-배우자있음","","576998",
"서울특별시","40~44세","내국인-사별","","4668",
"서울특별시","40~44세","내국인-이혼","","48043",
"서울특별시","45~49세","내국인(15세이상)-계","","787835",
"서울특별시","45~49세","내국인-미혼","","99349",
"서울특별시","45~49세","내국인-배우자있음","","603554",
"서울특별시","45~49세","내국인-사별","","11572",
"서울특별시","45~49세","내국인-이혼","","73360",
"서울특별시","50~54세","내국인(15세이상)-계","","764101",
"서울특별시","50~54세","내국인-미혼","","53315",
"서울특별시","50~54세","내국인-배우자있음","","602531",
"서울특별시","50~54세","내국인-사별","","24414",
"서울특별시","50~54세","내국인-이혼","","83841",
"서울특별시","55~59세","내국인(15세이상)-계","","746284",
"서울특별시","55~59세","내국인-미혼","","34049",
"서울특별시","55~59세","내국인-배우자있음","","590167",
"서울특별시","55~59세","내국인-사별","","43315",
"서울특별시","55~59세","내국인-이혼","","78753",
"서울특별시","60~64세","내국인(15세이상)-계","","556511",
"서울특별시","60~64세","내국인-미혼","","15653",
"서울특별시","60~64세","내국인-배우자있음","","435754",
"서울특별시","60~64세","내국인-사별","","57401",
"서울특별시","60~64세","내국인-이혼","","47703",
"서울특별시","65~69세","내국인(15세이상)-계","","434319",
"서울특별시","65~69세","내국인-미혼","","8196",
"서울특별시","65~69세","내국인-배우자있음","","321733",
"서울특별시","65~69세","내국인-사별","","74690",
"서울특별시","65~69세","내국인-이혼","","29700",
"서울특별시","70~74세","내국인(15세이상)-계","","337207",
"서울특별시","70~74세","내국인-미혼","","4498",
"서울특별시","70~74세","내국인-배우자있음","","228683",
"서울특별시","70~74세","내국인-사별","","87629",
"서울특별시","70~74세","내국인-이혼","","16397",
"서울특별시","75~79세","내국인(15세이상)-계","","225924",
"서울특별시","75~79세","내국인-미혼","","2560",
"서울특별시","75~79세","내국인-배우자있음","","129885",
"서울특별시","75~79세","내국인-사별","","86402",
"서울특별시","75~79세","내국인-이혼","","7077",
"서울특별시","80~84세","내국인(15세이상)-계","","121873",
"서울특별시","80~84세","내국인-미혼","","1233",
"서울특별시","80~84세","내국인-배우자있음","","51486",
"서울특별시","80~84세","내국인-사별","","66879",
"서울특별시","80~84세","내국인-이혼","","2275",
"서울특별시","85세이상","내국인(15세이상)-계","","81098",
"서울특별시","85세이상","내국인-미혼","","1029",
"서울특별시","85세이상","내국인-배우자있음","","19023",
"서울특별시","85세이상","내국인-사별","","59894",
"서울특별시","85세이상","내국인-이혼","","1152",
"종로구","합계","내국인(15세이상)-계","","131531",
"종로구","합계","내국인-미혼","","51582",
"종로구","합계","내국인-배우자있음","","65088",
"종로구","합계","내국인-사별","","9098",
"종로구","합계","내국인-이혼","","5763",
"종로구","15~19세","내국인(15세이상)-계","","9675",
"종로구","15~19세","내국인-미혼","","9665",
"종로구","15~19세","내국인-배우자있음","","",
"종로구","15~19세","내국인-사별","","10",
"종로구","15~19세","내국인-이혼","","",
"종로구","20~24세","내국인(15세이상)-계","","11732",
"종로구","20~24세","내국인-미혼","","11637",
"종로구","20~24세","내국인-배우자있음","","82",
"종로구","20~24세","내국인-사별","","13",
"종로구","20~24세","내국인-이혼","","",
"종로구","25~29세","내국인(15세이상)-계","","12037",
"종로구","25~29세","내국인-미혼","","11155",
"종로구","25~29세","내국인-배우자있음","","873",
"종로구","25~29세","내국인-사별","","4",
"종로구","25~29세","내국인-이혼","","5",
"종로구","30~34세","내국인(15세이상)-계","","10784",
"종로구","30~34세","내국인-미혼","","7016",
"종로구","30~34세","내국인-배우자있음","","3694",
"종로구","30~34세","내국인-사별","","13",
"종로구","30~34세","내국인-이혼","","61",
"종로구","35~39세","내국인(15세이상)-계","","9524",
"종로구","35~39세","내국인-미혼","","3825",
"종로구","35~39세","내국인-배우자있음","","5493",
"종로구","35~39세","내국인-사별","","17",
"종로구","35~39세","내국인-이혼","","189",
"종로구","40~44세","내국인(15세이상)-계","","11756",
"종로구","40~44세","내국인-미혼","","3172",
"종로구","40~44세","내국인-배우자있음","","7890",
"종로구","40~44세","내국인-사별","","71",
"종로구","40~44세","내국인-이혼","","623",
"종로구","45~49세","내국인(15세이상)-계","","11958",
"종로구","45~49세","내국인-미혼","","1893",
"종로구","45~49세","내국인-배우자있음","","8847",
"종로구","45~49세","내국인-사별","","98",
"종로구","45~49세","내국인-이혼","","1120",
"종로구","50~54세","내국인(15세이상)-계","","12053",
"종로구","50~54세","내국인-미혼","","1133",
"종로구","50~54세","내국인-배우자있음","","9451",
"종로구","50~54세","내국인-사별","","377",
"종로구","50~54세","내국인-이혼","","1092",
"종로구","55~59세","내국인(15세이상)-계","","11181",
"종로구","55~59세","내국인-미혼","","824",
"종로구","55~59세","내국인-배우자있음","","8736",
"종로구","55~59세","내국인-사별","","515",
"종로구","55~59세","내국인-이혼","","1106",
"종로구","60~64세","내국인(15세이상)-계","","8547",
"종로구","60~64세","내국인-미혼","","531",
"종로구","60~64세","내국인-배우자있음","","6538",
"종로구","60~64세","내국인-사별","","881",
"종로구","60~64세","내국인-이혼","","597",
"종로구","65~69세","내국인(15세이상)-계","","7035",
"종로구","65~69세","내국인-미혼","","305",
"종로구","65~69세","내국인-배우자있음","","5011",
"종로구","65~69세","내국인-사별","","1172",
"종로구","65~69세","내국인-이혼","","547",
"종로구","70~74세","내국인(15세이상)-계","","6344",
"종로구","70~74세","내국인-미혼","","195",
"종로구","70~74세","내국인-배우자있음","","4141",
"종로구","70~74세","내국인-사별","","1723",
"종로구","70~74세","내국인-이혼","","285",
"종로구","75~79세","내국인(15세이상)-계","","4552",
"종로구","75~79세","내국인-미혼","","129",
"종로구","75~79세","내국인-배우자있음","","2641",
"종로구","75~79세","내국인-사별","","1698",
"종로구","75~79세","내국인-이혼","","84",
"종로구","80~84세","내국인(15세이상)-계","","2532",
"종로구","80~84세","내국인-미혼","","79",
"종로구","80~84세","내국인-배우자있음","","1144",
"종로구","80~84세","내국인-사별","","1278",
"종로구","80~84세","내국인-이혼","","31",
"종로구","85세이상","내국인(15세이상)-계","","1821",
"종로구","85세이상","내국인-미혼","","23",
"종로구","85세이상","내국인-배우자있음","","547",
"종로구","85세이상","내국인-사별","","1228",
"종로구","85세이상","내국인-이혼","","23",
"중구","합계","내국인(15세이상)-계","","106393",
"중구","합계","내국인-미혼","","39856",
"중구","합계","내국인-배우자있음","","51446",
"중구","합계","내국인-사별","","8894",
"중구","합계","내국인-이혼","","6197",
"중구","15~19세","내국인(15세이상)-계","","5817",
"중구","15~19세","내국인-미혼","","5817",
"중구","15~19세","내국인-배우자있음","","",
"중구","15~19세","내국인-사별","","",
"중구","15~19세","내국인-이혼","","",
"중구","20~24세","내국인(15세이상)-계","","8212",
"중구","20~24세","내국인-미혼","","8145",
"중구","20~24세","내국인-배우자있음","","61",
"중구","20~24세","내국인-사별","","2",
"중구","20~24세","내국인-이혼","","4",
"중구","25~29세","내국인(15세이상)-계","","9271",
"중구","25~29세","내국인-미혼","","8340",
"중구","25~29세","내국인-배우자있음","","915",
"중구","25~29세","내국인-사별","","2",
"중구","25~29세","내국인-이혼","","14",
"중구","30~34세","내국인(15세이상)-계","","10396",
"중구","30~34세","내국인-미혼","","6109",
"중구","30~34세","내국인-배우자있음","","4190",
"중구","30~34세","내국인-사별","","5",
"중구","30~34세","내국인-이혼","","92",
"중구","35~39세","내국인(15세이상)-계","","9183",
"중구","35~39세","내국인-미혼","","3612",
"중구","35~39세","내국인-배우자있음","","5416",
"중구","35~39세","내국인-사별","","14",
"중구","35~39세","내국인-이혼","","141",
"중구","40~44세","내국인(15세이상)-계","","9257",
"중구","40~44세","내국인-미혼","","2864",
"중구","40~44세","내국인-배우자있음","","5678",
"중구","40~44세","내국인-사별","","58",
"중구","40~44세","내국인-이혼","","657",
"중구","45~49세","내국인(15세이상)-계","","9007",
"중구","45~49세","내국인-미혼","","2076",
"중구","45~49세","내국인-배우자있음","","5803",
"중구","45~49세","내국인-사별","","157",
"중구","45~49세","내국인-이혼","","971",
"중구","50~54세","내국인(15세이상)-계","","9630",
"중구","50~54세","내국인-미혼","","1289",
"중구","50~54세","내국인-배우자있음","","6661",
"중구","50~54세","내국인-사별","","410",
"중구","50~54세","내국인-이혼","","1270",
"중구","55~59세","내국인(15세이상)-계","","10028",
"중구","55~59세","내국인-미혼","","738",
"중구","55~59세","내국인-배우자있음","","7379",
"중구","55~59세","내국인-사별","","696",
"중구","55~59세","내국인-이혼","","1215",
"중구","60~64세","내국인(15세이상)-계","","7506",
"중구","60~64세","내국인-미혼","","313",
"중구","60~64세","내국인-배우자있음","","5515",
"중구","60~64세","내국인-사별","","875",
"중구","60~64세","내국인-이혼","","803",
"중구","65~69세","내국인(15세이상)-계","","6041",
"중구","65~69세","내국인-미혼","","220",
"중구","65~69세","내국인-배우자있음","","3983",
"중구","65~69세","내국인-사별","","1288",
"중구","65~69세","내국인-이혼","","550",
"중구","70~74세","내국인(15세이상)-계","","5041",
"중구","70~74세","내국인-미혼","","149",
"중구","70~74세","내국인-배우자있음","","2908",
"중구","70~74세","내국인-사별","","1664",
"중구","70~74세","내국인-이혼","","320",
"중구","75~79세","내국인(15세이상)-계","","3636",
"중구","75~79세","내국인-미혼","","111",
"중구","75~79세","내국인-배우자있음","","1824",
"중구","75~79세","내국인-사별","","1567",
"중구","75~79세","내국인-이혼","","134",
"중구","80~84세","내국인(15세이상)-계","","1989",
"중구","80~84세","내국인-미혼","","47",
"중구","80~84세","내국인-배우자있음","","799",
"중구","80~84세","내국인-사별","","1135",
"중구","80~84세","내국인-이혼","","8",
"중구","85세이상","내국인(15세이상)-계","","1379",
"중구","85세이상","내국인-미혼","","26",
"중구","85세이상","내국인-배우자있음","","314",
"중구","85세이상","내국인-사별","","1021",
"중구","85세이상","내국인-이혼","","18",
"용산구","합계","내국인(15세이상)-계","","187585",
"용산구","합계","내국인-미혼","","67259",
"용산구","합계","내국인-배우자있음","","98040",
"용산구","합계","내국인-사별","","13030",
"용산구","합계","내국인-이혼","","9256",
"용산구","15~19세","내국인(15세이상)-계","","10136",
"용산구","15~19세","내국인-미혼","","10135",
"용산구","15~19세","내국인-배우자있음","","",
"용산구","15~19세","내국인-사별","","1",
"용산구","15~19세","내국인-이혼","","",
"용산구","20~24세","내국인(15세이상)-계","","13262",
"용산구","20~24세","내국인-미혼","","13149",
"용산구","20~24세","내국인-배우자있음","","112",
"용산구","20~24세","내국인-사별","","1",
"용산구","20~24세","내국인-이혼","","",
"용산구","25~29세","내국인(15세이상)-계","","15453",
"용산구","25~29세","내국인-미혼","","13821",
"용산구","25~29세","내국인-배우자있음","","1616",
"용산구","25~29세","내국인-사별","","",
"용산구","25~29세","내국인-이혼","","16",
"용산구","30~34세","내국인(15세이상)-계","","18808",
"용산구","30~34세","내국인-미혼","","10996",
"용산구","30~34세","내국인-배우자있음","","7618",
"용산구","30~34세","내국인-사별","","",
"용산구","30~34세","내국인-이혼","","194",
"용산구","35~39세","내국인(15세이상)-계","","17406",
"용산구","35~39세","내국인-미혼","","6440",
"용산구","35~39세","내국인-배우자있음","","10548",
"용산구","35~39세","내국인-사별","","20",
"용산구","35~39세","내국인-이혼","","398",
